date,caller,verdict,lane,business,town,phone,google_reviews,site_status,channel,ring_test,ever_had_a_site,discovery_answer,price_said,outcome,notes
,,UNVERIFIED,A-SFV,Wrought Iron Projects,"San Fernando Valley, CA",(818) 747-9461,CHECK GOOGLE,CHECK - open the site,call,,,,,,verify before dialing
,,STALE-RECHECK,B-NATL,ArborGold Tree Care,"Rochester, IN",(574) 933-3616,5.0/48,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Tip Top Tree,"Sedalia, MO",(660) 221-3272,5.0/34,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Capital Tree Service,"Cape Girardeau, MO",(573) 887-2159,4.9/29,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Farley Tree Service,"Cookeville, TN",(931) 520-0114,5.0/22,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Weaver's Tree Care,"Cape Girardeau, MO",(573) 837-3934,4.9/15,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Elevate Tree Care,"Delphi, IN",(765) 606-5820,5.0/11,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Kelich Tree Service,"Elwood, IN",(765) 416-2542,4.9/10,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,B.L. Phippin & Son,"Salisbury, MD",(410) 430-3897,4.8/49,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,I&G Septic Tank Cleaning,"Dalton, GA",(706) 229-2347,5.0/43,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Tison's Plumbing & Drain,"Valdosta, GA",(229) 877-3494,5.0/41,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,W B Ray Septic Cleaning,"Texarkana, TX",(903) 559-2462,4.9/32,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Hall's Septic Tank Service,"Hahira, GA",(229) 251-4434,4.8/27,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,American Outback Septic,"Pittsville, MD",(410) 546-1666,5.0/21,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Delaware Septic Service,"Gaston, IN",(765) 744-0862,4.9/16,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Action Septic Tank Services,"Stillwater, OK",(405) 334-6102,5.0/11,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Distel's Septic Service,"Tiffin, OH",(419) 448-0250,5.0/10,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,C & C Fence LLC,"Rapid City, SD",(605) 342-8346,5.0/13,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,STALE-RECHECK,B-NATL,Jim's Construction LLC,"Kokomo, IN",(765) 210-7549,5.0/12,"no website (Places API, months old)",call,,,,,,from the RIGHT source (websiteUri empty) but stale. re-confirm the listing.
,,UNVERIFIED,C-SUBDOMAIN,Blanks Septic,"Palmetto, GA",(770) 969-7983,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,A&W Septic Service,"Stewartsville, NJ",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,D and K Pumping,"Greeley, CO",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,A1 Septic Solution,"Bellingham/Lynden, WA",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Everett's Septic Service,verify,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Southern Exteriors Tree Service,"Searcy, AR",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Timberland Tree Company,"Delaware, OH",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Tennessee Roots LLC,TN,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Treeology Land & Tree Care,"Pinellas County, FL",verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Hill's Tree Service,Maryville,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,845TreePro LLC,NY 845,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,AB Tree Service Inc,verify,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Tree Tenders LLC,verify,verify,CHECK GOOGLE,FREE WIXSITE SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Custom Gates Orlando,"Orlando, FL",verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,LCI Welding,verify,verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Kenai Peninsula Fencing,"Kenai Peninsula, AK",verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Precision Fence and Gate,verify,verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,American Farm Fence Co,verify,verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,SE Fencing Inc,verify,verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Win Fencing & Services,verify,verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.
,,UNVERIFIED,C-SUBDOMAIN,Gateway Professionals,"Orlando, FL",verify,CHECK GOOGLE,FREE GODADDYSITES SUBDOMAIN,call,,,,,,want already proven. get a direct phone + google review count first.

# ONE ROW PER DIAL. A voicemail is a row.
#
# verdict   VERIFIED         google review count checked AND site opened. callable.
#           UNVERIFIED       a name, not a lead. verify before dialing.
#           STALE-RECHECK    came from the Places API (websiteUri empty = the right
#                            source) but the pull is months old. re-confirm the listing.
#           FAILED-HAS-SITE  has a real custom domain with real pages. DO NOT CALL.
#                            these were found by web search, which structurally only
#                            returns businesses that already have websites. see
#                            HANDOFF.md section 5 and targeting.md.
#
# google_reviews  GOOGLE count, not Yelp. they differ badly and the 10-49 band is a
#                 google band. Exotic Iron Works: 21 google / 115 yelp. Royal Tree:
#                 23 yelp / 11 birdeye. a yelp number is not a qualification.
# site_status     open the site. free subdomain or dead page = qualified. real custom
#                 domain with real pages = not a lead.
# ring_test       call the line twice before pitching. log 2/2, 1/2, 0/2.
#                 0/2 or 1/2 IS the opening line of the call.
# price_said      Y | N. all-time count as of 16 Sep 2026: 1 (O'Connell Cuts, $400).
#
# Target: 40 dials/week combined. Trades answer 6:30-8am and 4-6pm LOCAL.
# Roll up monthly -> docs/vertical_scoreboard.csv
